"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 19 14:03:29 GMT 2024","Sat Oct 19 14:03:32 GMT 2024","2842","tests","test_calculator","","","","test_basic_calculator_operations[5-+-6-11-5 + 6 =]","Parametrized test for basic calculator operations: addition, subtraction, multiplication, and division"
"passed","Sat Oct 19 14:03:24 GMT 2024","Sat Oct 19 14:03:27 GMT 2024","3030","tests","test_calculator","","","","test_basic_calculator_operations[10---3-7-10 - 3 =]","Parametrized test for basic calculator operations: addition, subtraction, multiplication, and division"
"passed","Sat Oct 19 14:04:09 GMT 2024","Sat Oct 19 14:04:10 GMT 2024","941","tests","test_calculator","","","","test_calculator_successive_equals[4 \xd7 3-12]","Test that pressing equal repeatedly does not change the result in Google Calculator."
"passed","Sat Oct 19 14:04:05 GMT 2024","Sat Oct 19 14:04:08 GMT 2024","2289","tests","test_calculator","","","","test_calculator_use_result_in_next_operation[5 + 5-\xd7 2-20]","Test using the result of one operation in the next operation."
"passed","Sat Oct 19 14:04:02 GMT 2024","Sat Oct 19 14:04:03 GMT 2024","1002","tests","test_calculator","","","","test_calculator_decimal_precision[1-\xf7-3-0.33333333333]","Test calculator precision for long decimal results like 1 ÷ 3."
"passed","Sat Oct 19 14:03:25 GMT 2024","Sat Oct 19 14:03:28 GMT 2024","3310","tests","test_calculator","","","","test_basic_calculator_operations[50-\xf7-5-10-50 \xf7 5 =]","Parametrized test for basic calculator operations: addition, subtraction, multiplication, and division"
"passed","Sat Oct 19 14:03:45 GMT 2024","Sat Oct 19 14:03:50 GMT 2024","4346","tests","test_calculator","","","","test_calculator_large_number_operations[1000000000-+-2000000000-3000000000-1000000000 + 2000000000 =]","Parametrized test for calculator operations involving large numbers"
"passed","Sat Oct 19 14:03:24 GMT 2024","Sat Oct 19 14:03:27 GMT 2024","2080","tests","test_calculator","","","","test_all_buttons_calculator_present","Verify that all required buttons (digits and operations) for the calculator are present."
"passed","Sat Oct 19 14:03:43 GMT 2024","Sat Oct 19 14:03:46 GMT 2024","2673","tests","test_calculator","","","","test_calculator_basic_float_operations[10.1---3.5-6.6-10.1 - 3.5 =]","Parametrized test for basic calculator operations involving float numbers"
"passed","Sat Oct 19 14:03:37 GMT 2024","Sat Oct 19 14:03:40 GMT 2024","3731","tests","test_calculator","","","","test_calculator_basic_float_operations[5.5-+-2.2-7.7-5.5 + 2.2 =]","Parametrized test for basic calculator operations involving float numbers"
"passed","Sat Oct 19 14:03:31 GMT 2024","Sat Oct 19 14:03:35 GMT 2024","3604","tests","test_calculator","","","","test_calculator_negative_number_operations[2.5-\xd7--2--5-2.5 \xd7 -2 =]","Parametrized test for calculator operations involving negative numbers"
